# written by scripts/call.py during the run of BRIEF.md (e9b2b92c) on 2026-09-14, one row per surface call; stdout of row n is raw/calls/NNN.out (gitignored); bytes = stdout length; into = context (the whole answer was read by the agent) or file (measured, then projected with jq)
n,phase,surface,question,verb_or_tool,args,exit,rows,bytes,wall_ms,into,note
17,1,workaround,A1,jq -c,"-c {rarity:(group_by(.rarity)|map({(.[0].rarity|tostring):length})|add), frameType:(group_by(.json.frameType)|map({(.[0].json.frameType|tostring):length})|add), location_kind:(group_by(.location_kind)|map({(.[0].location_kind):length})|add), container:(group_by(.container)|map({(.[0].container|tostring):length})|add), realm:(group_by(.realm)|map({(.[0].realm):length})|add), removed:(map(select(.removed_at!=null))|length), socketed:(map(select(.socketed_in!=null))|length)} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,1,375,875,context,jq over the dump: items per rarity column and per frameType
18,1,workaround,A1,jq -c,"-c map(select(.location_kind==""tab""))|group_by(.league+""/""+.location_id)|map({league:.[0].league,tab:.[0].location_id,n:length})|sort_by(-.n) /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,0,3,767,file,"jq over the dump: items per tab (top by count), Standard and every league"
19,1,cli,Q1,acq items search Titan Gauntlets --json,items search Titan Gauntlets --json,0,20,53634,93,file,the base the owner has in mind
20,1,cli,Q1,acq items search titan gauntlets --json,items search titan gauntlets --json,0,20,53634,23,file,case check: lowercase
21,1,cli,Q2,acq items search Ashes of the Stars --json,items search Ashes of the Stars --json,0,10,20512,22,file,the owner's legacy example
22,1,cli,Q4,acq items search Staff --json --limit 1000,items search Staff --json --limit 1000,0,81,325852,33,file,"every staff, by type-line substring"
23,1,cli,errors,acq items search Staff --json --league Nope,items search Staff --json --league Nope,0,0,3,21,context,
24,1,cli,errors,acq items search Staff --json --realm mars,items search Staff --json --realm mars,2,2,149,4,context,
25,1,cli,errors,acq items show nope --json,items show nope --json,1,1,25,5,context,
26,1,cli,errors,acq items search Staff --json --limit 0,items search Staff --json --limit 0,0,0,3,4,context,
27,1,cli,errors,acq items search Staff --json --limit -1,items search Staff --json --limit -1,2,4,172,3,context,
28,1,cli,errors,acq items search --json,items search --json,2,4,154,3,context,
29,1,cli,errors,acq items search Staff --json --account nobody,items search Staff --json --account nobody,1,1,63,3,context,
30,1,workaround,A1,jq -r,"-r map(select(.location_kind==""stash""))|group_by(.league+""/""+.location_id)|map({league:.[0].league,tab:.[0].location_id,n:length})|sort_by(-.n)|.[]|""\(.n)\t\(.league)\t\(.tab)"" /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,423,9683,762,file,"jq over the dump: items per stash tab, top by count (location_kind is 'stash', not 'tab': one wrong-name retry)"
31,1,workaround,Q1,jq -c,"-c map(select(.rarity==""Rare""))|map({id:.id[0:8],name,league,loc:(.location_kind+"":""+.location_id[0:8]),mods:[(.json.explicitMods//[])[]|(if type==""object"" then .description else . end)|select(test(""Resist|Strength|Dexterity|Intelligence|Attributes""))]})|.[] /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/019.out",0,12,1726,5,context,"jq over 019: the rares among the Titan Gauntlets, their resist/attribute lines"
32,1,workaround,Q2,jq -c,"-c .[]|{id:.id[0:8],name,type_line,rarity,league,loc:(.location_kind+"":""+.location_id[0:8]),mods:[(.json.explicitMods//[])[]|(if type==""object"" then .description else . end)]} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/021.out",0,10,2699,4,context,jq over 021: what the ten Ashes rows are
33,1,workaround,Q4,jq -c,"-c map(select(.json.crucibleMods))|.[]|{id:.id[0:8],name,type_line,rarity,league,loc:(.location_kind+"":""+.location_id[0:8]),crucible:[.json.crucibleMods[]|(if type==""object"" then .description else . end)]} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/022.out",0,7,1934,7,context,jq over 022: staves carrying crucibleMods
34,1,workaround,A5,jq -c,"-c def mods: [(.json.implicitMods//[])[],(.json.explicitMods//[])[],(.json.craftedMods//[])[],(.json.fracturedMods//[])[],(.json.enchantMods//[])[],(.json.crucibleMods//[])[],(.json.veiledMods//[])[]]|map(if type==""object"" then .description else . end); map(. as $i|(mods|map(capture(""^\\+(?<v>[0-9]+) to maximum Life$"")?|.v|tonumber)|max) as $m|select($m!=null and $m>=90)|{id:.id[0:8],name,type_line,rarity,league,loc:(.location_kind+"":""+.location_id[0:8]),life:$m})|sort_by(-.life)|{n:length,rows:.[0:12]} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,12,1758,966,context,jq over the dump: +# to maximum Life >= 90 in any mod array
35,1,workaround,Q3,jq -c,"-c map(select((.json.sockets//[])|length>0)|select(([.json.sockets[].group]|group_by(.)|map(length)|max)>=6))|{n:length,rows:(map({id:.id[0:8],name,type_line,rarity,league,loc:(.location_kind+"":""+.location_id[0:8]),colours:([.json.sockets[].sColour]|join(""""))})|.[0:12])} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,12,1869,789,context,jq over the dump: items with six linked sockets
36,1,workaround,Q6,jq -c,"-c def mods: [(.json.implicitMods//[])[],(.json.explicitMods//[])[],(.json.craftedMods//[])[],(.json.fracturedMods//[])[],(.json.enchantMods//[])[]]|map(if type==""object"" then .description else . end); map(select(mods|any(test(""xplode"")))|{id:.id[0:8],name,type_line,rarity,league,loc:(.location_kind+"":""+.location_id[0:8]),mods:(mods|map(select(test(""xplode""))))})|{n:length,rows:.[0:15]} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,15,3823,901,context,jq over the dump: an explode mod on a body armour
37,1,workaround,Q5,jq -c,"-c .[]|select(.name|test(""level|lvl|twink|low"";""i""))|{id,name,type,item_count} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/008.out",0,8,753,36,context,jq over 008: tab names that look like a leveling tab
38,1,workaround,Q5,jq -c,"-c map(select(.rarity==""Unique"")|. as $i|((.json.requirements//[])[]|select(.name==""Level"")|.values[0][0]|tonumber) as $l|select($l<=30)|{id:.id[0:8],name,type_line,lvl:$l,league,loc:(.location_kind+"":""+.location_id[0:8])})|{n:length,sample:(sort_by(.lvl)|.[0:10])} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,10,1199,756,context,"jq over the dump: uniques with requirement Level <= 30, count and a sample"
39,1,workaround,Q7,jq -r,"-r [.[]|. as $i|(.json.explicitMods//[])[]|(if type==""object"" then .description else . end)|gsub(""[0-9]+(\\.[0-9]+)?"";""#"")|{t:.,k:$i.location_kind}]|group_by(.t)|map({t:.[0].t,stash:(map(select(.k==""stash""))|length),chr:(map(select(.k==""character""))|length)})|map(select(.stash>0 and .chr>0))|sort_by(-(.stash+.chr))|.[0:30][]|""\(.stash)\t\(.chr)\t\(.t)"" /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,30,943,1510,context,"jq over the dump: explicit-mod templates spanning stash and character, top 30, to pick Q7's mod"
40,1,cli,determinism,sh -c,"-c A=/Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/target/debug/acq; $A items search Staff --json --limit 6 | jq -r "".[].id[0:12]"" | tr ""\n"" "" ""; echo; $A items search Staff --json --limit 6 | jq -r "".[].id[0:12]"" | tr ""\n"" "" ""; echo",0,2,158,20,context,same query twice: ids in order
41,1,workaround,determinism,jq -c,"-c .[0:8]|map({id:.id[0:6],ls:.last_seen,fs:.first_seen,loc:.location_id[0:6],kind:.location_kind}) /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,8,658,747,context,"what order the dump is in: id vs last_seen vs location, first 8"
42,1,mcp,errors,search_items,"{""text"":""Staff"",""league"":""Nope""}",0,0,2,19,context,
43,1,mcp,errors,search_items,"{""text"":""Staff"",""realm"":""mars""}",1,1,83,2,context,
44,1,mcp,errors,search_items,"{""text"":""Staff"",""limit"":0}",0,0,2,2,context,
45,1,mcp,errors,search_items,{},1,1,54,1,context,
46,1,mcp,errors,get_item,"{""id"":""nope""}",1,1,43,2,context,
47,1,mcp,errors,tabs,"{""league"":""Nope""}",0,0,2,2,context,
48,1,mcp,errors,search_items,"{""text"":""Staff"",""account"":""nobody"",""limit"":1}",1,1,81,1,context,
49,1,mcp,errors,search_items,"{""text"":""Staff"",""limit"":-1}",1,1,77,1,context,
50,1,mcp,Q1,search_items,"{""text"":""Titan Gauntlets""}",0,20,31844,23,context,"the MCP seat for real: the whole answer lands in context (driver, since the harness registration points at a literal …)"
51,1,mcp,Q2,search_items,"{""text"":""Ashes of the Stars""}",0,10,13866,21,context,the MCP seat for real: ten whole bodies in context
52,1,mcp,Q4,search_items,"{""text"":""Staff"",""limit"":1000}",0,81,178328,45,file,"every staff: measured, not taken into context"
53,1,mcp,Q4,search_items,"{""text"":""Staff""}",0,50,114170,30,file,"the default limit: 50 of 81, and nothing says 31 were cut"
54,1,mcp,dump,search_items,"{""text"":"""",""limit"":100000}",0,22721,38820498,5644,file,the MCP seat's only route to a whole-corpus question: everything into context
55,1,mcp,Q7,search_items,"{""text"":""Rarity""}",0,3,5105,20,file,what an agent might try for a mod sweep: the word as a name substring
56,1,mcp,A3,search_items,"{""text"":""Explode""}",0,0,2,19,context,explain a non-match: mods are not searched
57,1,mcp,A1,search_items,"{""text"":"""",""league"":""Allflame"",""limit"":100000}",0,1312,1948001,297,file,"facet by league: the only league knob is a filter, no count"
58,1,cli,A3,acq items search Explode --json,items search Explode --json,0,0,3,22,context,explain a non-match: mods are not searched
59,1,cli,A4,acq items show --json,items show 1d57e63d224e11cb416e5feecd5fcd9fa04f8986ca2c49ca057e1da18d4cfb8e --json,0,1,3567,5,file,"one item again by id: exact, one call"
60,1,mcp,A4,get_item,"{""id"":""1d57e63d224e11cb416e5feecd5fcd9fa04f8986ca2c49ca057e1da18d4cfb8e""}",0,1,2155,2,file,"one item again by id: exact, one call"
61,1,cli,A4,acq items show,items show 1d57e63d224e11cb416e5feecd5fcd9fa04f8986ca2c49ca057e1da18d4cfb8e,0,157,2871,5,context,the same id in text mode: what the decision view shows
62,1,cli,Q6,acq price show --json,price show item/1d57e63d224e11cb416e5feecd5fcd9fa04f8986ca2c49ca057e1da18d4cfb8e --json,0,0,2158,312,context,the price half of Q6: the listing state of the found item (a read)
63,1,workaround,Q6,jq -c --arg c,"-c --arg c 31f48169c080f947fba155436250cb768ee93a57689dae27144318bd57e01de4 .[]|select(.id==$c)|{name,class,level,league} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/009.out",0,1,75,5,context,where the chest is: the character's name from 009
64,1,workaround,Q4,jq -c,"-c .[]|select(.id|IN(""b734b900a5"",""2a29b2d5""))|{id,name,type,item_count} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/008.out",0,0,0,20,context,"tab names for the staves' tabs, from 008"
65,1,workaround,Q4,jq -c,"-c .[]|select(.id|startswith(""b734b900"") or startswith(""2a29b2d5""))|{id,name,type,item_count} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/008.out",0,2,197,17,context,tab names by prefix (ids in the dump are 10 chars; my 8-char cut missed): retry
66,1,workaround,Q5,jq -c,"-c map(select(.location_id==""2cd4e2a386"" or .location_id==""37f215fdf3""))|{n:length,by_tab:(group_by(.location_id)|map({tab:.[0].location_id,n:length})),sample:(map({name,type_line,rarity,lvl:((.json.requirements//[])[]?|select(.name==""Level"")|.values[0][0])})|.[0:12])} /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,2,958,748,context,"items in the two leveling tabs, from the dump"
67,1,workaround,Q7,sh -c,"-c D=/Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls; jq -c --slurpfile tabs $D/008.out --slurpfile chars $D/009.out 'def mods: [(.json.implicitMods//[])[],(.json.explicitMods//[])[],(.json.craftedMods//[])[],(.json.fracturedMods//[])[],(.json.enchantMods//[])[],(.json.crucibleMods//[])[]]|map(if type==""object"" then .description else . end); ($tabs[0]|map({(.id):.name})|add) as $tn | ($chars[0]|map({(.id):.name})|add) as $cn | map(select(mods|any(test(""increased Rarity of Items found"")))|{loc:(if .location_kind==""stash"" then ""tab:""+($tn[.location_id]//.location_id) else ""char:""+($cn[.location_id]//.location_id) end),league,name,type_line})|{n:length,by_location:(group_by(.loc)|map({loc:.[0].loc,n:length})|sort_by(-.n)|.[0:15]),locations:(group_by(.loc)|length)}' $D/007.out",0,15,692,963,context,"the sweep: #% increased Rarity of Items found across every mod array, grouped by location with names"
68,1,workaround,A2,jq -c,"-c map(select(.rarity==""Rare"")|. as $i|([(.json.explicitMods//[])[]|(if type==""object"" then .description else . end)|capture(""\\+(?<v>[0-9]+)% to (?<w>.*Resist.*)"")|(.v|tonumber)*(if (.w|test("" and "")) then 2 elif (.w|test(""all Elemental"")) then 3 else 1 end)]|add//0) as $r|select($r>=60)|{id:.id[0:8],name,res:$r}) /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/019.out",0,2,97,4,context,"refine Q1 without restating: total resistance >= 60 among the Titan Gauntlets rares, over the saved 019"
69,1,workaround,A1,jq -c,"-c group_by(.league)|map({league:.[0].league,rarity:(group_by(.rarity)|map({(.[0].rarity|tostring):length})|add)}) /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,2,192,785,context,"facet: rarity by league, from the dump"
70,1,workaround,Q2,jq -c --slurpfile tabs -f,-c --slurpfile tabs /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/008.out -f /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/scripts/q2_where.jq /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/021.out,0,4,469,14,context,where the four legacy Ashes are: tab names joined from 008
71,1,cli,Q1,acq items search Titan Gauntlets,items search Titan Gauntlets,0,21,1244,21,context,the text (decision) view of a search
72,1,cli,A1,acq tabs,tabs,0,3349,354968,38,file,the text view of tabs
73,1,cli,A1,acq store characters,store characters,0,67,10715,7,file,the text view of characters
74,1,cli,A4,acq items show 1d57e63d --json,items show 1d57e63d --json,1,1,29,4,context,an id prefix: does show accept one?
75,2,sql,ddl,sqlite3 -readonly .schema,-readonly /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/world/mock/GERWARIC_7694.db .schema,0,92,3879,14,context,"the store copy's DDL, read-only"
76,2,sql,ddl,sqlite3 -readonly .schema,-readonly /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/../engine-bench/raw/seat-projection.db .schema,0,53,3432,9,context,"the seat projection's DDL, read-only; the comments are part of it"
77,2,sql,orientation,GERWARIC_7694.db,"SELECT count(*) AS total, sum(removed_at IS NULL) AS live, count(DISTINCT league) AS leagues FROM items",0,1,33,8,context,S: live rows
78,2,sql,orientation,seat-projection.db,"SELECT (SELECT count(*) FROM items) AS items, (SELECT count(*) FROM lines) AS lines, (SELECT group_concat(arr||':'||n, ' ') FROM (SELECT arr, count(*) n FROM lines GROUP BY arr ORDER BY n DESC)) AS arrays",0,1,174,62,context,P: rows and which arrays lines holds
79,2,sql,Q1,GERWARIC_7694.db,"SELECT i.name, t.name AS tab,
  (SELECT group_concat(json_extract(m.value,'$.description'), ' | ') FROM json_each(i.json,'$.explicitMods') m
    WHERE json_extract(m.value,'$.description') LIKE '%Resist%' OR json_extract(m.value,'$.description') LIKE '+% to Strength' OR json_extract(m.value,'$.description') LIKE '+% to Dexterity' OR json_extract(m.value,'$.description') LIKE '+% to Intelligence') AS lines
FROM items i LEFT JOIN tabs t ON t.id=i.location_id AND t.league=i.league AND t.realm=i.realm
WHERE i.rarity='Rare' AND i.base_type='Titan Gauntlets' AND i.removed_at IS NULL",0,12,1054,7,context,S: rares of the base with their resist/attribute lines; the tab name via a join; the line is an object's description
80,2,sql,Q1,seat-projection.db,"SELECT i.name, i.tab_name, group_concat(l.line||'='||l.value, ' | ') AS lines
FROM items i JOIN lines l ON l.item=i.rid
WHERE i.rarity='Rare' AND i.base_type='Titan Gauntlets' AND (l.line LIKE '%Resist%' OR l.line IN ('+# to Strength','+# to Dexterity','+# to Intelligence'))
GROUP BY i.rid",0,11,1005,4,context,P: the same over lines
81,2,sql,Q2,GERWARIC_7694.db,"SELECT substr(i.id,1,8) AS id, i.league, t.name AS tab FROM items i LEFT JOIN tabs t ON t.id=i.location_id AND t.league=i.league AND t.realm=i.realm
WHERE i.name='Ashes of the Stars' AND i.json LIKE '%Reservation Efficiency%'",0,4,149,0,context,S: legacy Ashes by a LIKE over the whole body
82,2,sql,Q2,seat-projection.db,"SELECT substr(i.gid,1,8) AS id, i.league, i.tab_name, l.line, l.value FROM items i JOIN lines l ON l.item=i.rid
WHERE i.name='Ashes of the Stars' AND l.line LIKE '%Reservation Efficiency%'",0,4,369,11,context,P: legacy Ashes by a line
83,2,sql,Q3,GERWARIC_7694.db,"SELECT count(*) AS six_links FROM (
  SELECT i.id FROM items i, json_each(i.json,'$.sockets') s WHERE i.removed_at IS NULL
  GROUP BY i.id, json_extract(s.value,'$.group') HAVING count(*) >= 6)",0,1,14,53,context,S: six-linked items: sockets grouped per item and group
84,2,sql,Q3,seat-projection.db,SELECT count(*) FROM items WHERE links >= 6,1,0,29,0,context,P: six-links — the projection carries no sockets; the attempt as an agent would write it
85,2,sql,Q4,GERWARIC_7694.db,"SELECT i.name, i.type_line, i.rarity, t.name AS tab FROM items i LEFT JOIN tabs t ON t.id=i.location_id AND t.league=i.league AND t.realm=i.realm
WHERE i.type_line LIKE '%Staff%' AND json_extract(i.json,'$.crucibleMods') IS NOT NULL AND i.removed_at IS NULL",0,7,482,8,context,"S: staves with a crucible array, tab named"
86,2,sql,Q4,seat-projection.db,"SELECT DISTINCT i.name, i.type_line, i.rarity, i.tab_name FROM items i JOIN lines l ON l.item=i.rid
WHERE i.type_line LIKE '%Staff%' AND l.arr='crucibleMods'",0,7,487,4,context,P: staves with a crucible line
87,2,sql,Q5,GERWARIC_7694.db,"SELECT t.name, count(i.id) AS items FROM tabs t LEFT JOIN items i ON i.location_id=t.id AND i.league=t.league AND i.removed_at IS NULL
WHERE t.name LIKE '%level%' AND t.removed_at IS NULL GROUP BY t.realm, t.league, t.id",0,4,134,21,context,S: leveling tabs with their live item counts
88,2,sql,Q5,GERWARIC_7694.db,"SELECT count(*) AS uniques_le30 FROM items i, json_each(i.json,'$.requirements') r
WHERE i.rarity='Unique' AND i.removed_at IS NULL AND json_extract(r.value,'$.name')='Level' AND CAST(json_extract(r.value,'$.values[0][0]') AS INT) <= 30",0,1,17,12,context,"S: uniques at requirement level <= 30: the number sits in requirements[].values[0][0], a string"
89,2,sql,Q5,seat-projection.db,"SELECT (SELECT group_concat(tab_name||'='||n, '; ') FROM (SELECT tab_name, count(*) n FROM items WHERE tab_name LIKE '%level%' GROUP BY tab_name)) AS tabs,
       (SELECT count(*) FROM items WHERE rarity='Unique' AND req_level <= 30) AS uniques_le30",0,1,211,5,context,"P: leveling tabs, and uniques by req_level"
90,2,sql,Q6,GERWARIC_7694.db,"SELECT i.name, i.type_line, COALESCE(c.name, t.name) AS location FROM items i
LEFT JOIN characters c ON c.id=i.location_id LEFT JOIN tabs t ON t.id=i.location_id AND t.league=i.league
WHERE i.rarity='Rare' AND i.json LIKE '%Kill Explode%' AND i.removed_at IS NULL",0,2,125,11,context,"S: a rare with an explode line, its wearer named"
91,2,sql,Q6,seat-projection.db,"SELECT i.name, i.type_line, i.tab_name, l.line FROM items i JOIN lines l ON l.item=i.rid WHERE i.rarity='Rare' AND l.line LIKE '%Kill Explode%'",0,2,322,8,context,P: the same over lines
92,2,sql,Q7,GERWARIC_7694.db,"SELECT COALESCE(t.name, c.name, i.location_id) AS loc, count(*) AS n FROM items i
LEFT JOIN tabs t ON t.id=i.location_id AND t.league=i.league AND t.realm=i.realm LEFT JOIN characters c ON c.id=i.location_id
WHERE i.json LIKE '%increased Rarity of Items found%' AND i.removed_at IS NULL GROUP BY loc ORDER BY n DESC LIMIT 6",0,6,159,27,context,"S: the sweep by a LIKE over the body (every array, and any flavour text too), grouped by location name"
93,2,sql,Q7,GERWARIC_7694.db,"SELECT count(*) AS items, count(DISTINCT i.location_id) AS locations FROM items i WHERE i.json LIKE '%increased Rarity of Items found%' AND i.removed_at IS NULL",0,1,24,26,context,S: the sweep's total and its location count
94,2,sql,Q7,seat-projection.db,"SELECT i.tab_name AS loc, count(DISTINCT i.rid) AS n FROM items i JOIN lines l ON l.item=i.rid WHERE l.line='#% increased Rarity of Items found' GROUP BY loc ORDER BY n DESC LIMIT 6",0,6,122,2,context,"P: the sweep by template, grouped by location name"
95,2,sql,Q7,seat-projection.db,"SELECT count(DISTINCT i.rid) AS items, count(DISTINCT i.location_id) AS locations FROM items i JOIN lines l ON l.item=i.rid WHERE l.line='#% increased Rarity of Items found'",0,1,24,1,context,P: the sweep's total
96,2,sql,A1,GERWARIC_7694.db,"SELECT league, rarity, count(*) AS n FROM items WHERE removed_at IS NULL GROUP BY 1, 2 ORDER BY 1, 3 DESC",0,10,202,11,context,S: items per league and rarity
97,2,sql,A1,GERWARIC_7694.db,"SELECT t.name, count(*) AS n FROM items i JOIN tabs t ON t.id=i.location_id AND t.league=i.league AND t.realm=i.realm WHERE i.removed_at IS NULL GROUP BY t.realm, t.league, t.id ORDER BY n DESC LIMIT 5",0,5,94,18,context,"S: items per tab, top 5"
98,2,sql,A1,seat-projection.db,"SELECT league, rarity, count(*) AS n FROM items GROUP BY 1, 2 ORDER BY 1, 3 DESC",0,21,435,10,context,P: items per league and rarity
99,2,sql,A1,seat-projection.db,"SELECT tab_name, count(*) AS n FROM items WHERE location_kind='stash' GROUP BY tab_name ORDER BY n DESC LIMIT 5",0,5,95,5,context,"P: items per tab, top 5"
100,2,sql,A2,GERWARIC_7694.db,"SELECT name, sum(CAST(substr(d,2,instr(d,'%')-2) AS INT) * (CASE WHEN d LIKE '% and %' THEN 2 WHEN d LIKE '%all Elemental%' THEN 3 ELSE 1 END)) AS res
FROM (SELECT i.id, i.name, json_extract(m.value,'$.description') AS d FROM items i, json_each(i.json,'$.explicitMods') m
      WHERE i.rarity='Rare' AND i.base_type='Titan Gauntlets' AND i.removed_at IS NULL)
WHERE d LIKE '+%\% to %Resist%' ESCAPE '\' GROUP BY id HAVING res >= 60",0,2,38,19,context,S: Q1 refined to total resistance >= 60: the number parsed out of the description with substr/instr
101,2,sql,A2,seat-projection.db,"SELECT i.name, sum(l.value * (CASE WHEN l.line LIKE '% and %' THEN 2 WHEN l.line LIKE '%all Elemental%' THEN 3 ELSE 1 END)) AS res
FROM items i JOIN lines l ON l.item=i.rid WHERE i.rarity='Rare' AND i.base_type='Titan Gauntlets' AND l.line LIKE '+#% to %Resist%'
GROUP BY i.rid HAVING res >= 60",0,0,9,3,context,P: the same with the line's parsed value
102,2,sql,A3,GERWARIC_7694.db,"SELECT (SELECT count(*) FROM items WHERE name LIKE '%Explode%' OR type_line LIKE '%Explode%' OR base_type LIKE '%Explode%') AS in_names,
       (SELECT count(*) FROM items WHERE json LIKE '%Explode%') AS in_bodies,
       (SELECT group_concat(f, ',') FROM (SELECT DISTINCT CASE WHEN name LIKE '%Kaom%' THEN 'name' WHEN type_line LIKE '%Kaom%' THEN 'type_line' ELSE 'base_type' END AS f FROM items WHERE name LIKE '%Kaom%' OR type_line LIKE '%Kaom%' OR base_type LIKE '%Kaom%')) AS kaom_matched_on",0,1,46,37,context,"S: explain: which field matched, and where the non-matching word lives"
103,2,sql,A3,seat-projection.db,"SELECT (SELECT count(*) FROM items WHERE pretty LIKE '%explode%' OR base LIKE '%explode%') AS in_names, (SELECT count(DISTINCT item) FROM lines WHERE line LIKE '%Explode%') AS in_lines",0,1,23,19,context,P: the same over lines
104,2,sql,A4,GERWARIC_7694.db,"SELECT name, type_line, location_kind, (SELECT count(*) FROM items WHERE id LIKE '1d57e63d%') AS prefix_hits FROM items WHERE id='1d57e63d224e11cb416e5feecd5fcd9fa04f8986ca2c49ca057e1da18d4cfb8e'",0,1,79,1,context,"S: one item by id, and by prefix"
105,2,sql,A4,seat-projection.db,"SELECT rid, name, type_line, tab_name FROM items WHERE gid='1d57e63d224e11cb416e5feecd5fcd9fa04f8986ca2c49ca057e1da18d4cfb8e'",0,1,124,3,context,P: one item by gid
