# generated by scripts/columns-vs-json.py from crates/acquisition-store/src/{schema.sql,lib.rs,snapshot.rs} and ../item-facts/data/field-census.csv
kind,table,name,sql_type,source,json_path,census_items,census_share,depth,exposed_in,note
column,items,y,INTEGER,derived-from-json,y,34161,0.945,,ItemSnapshot,"re-extracted by Store::rebuild, never a refetch (C29)"
column,tabs,fetched_at,INTEGER,bookkeeping,,,,,,cleared when a listing revives a retired row (C54)
column,tabs,id,TEXT NOT NULL,identity,id,,,,,
column,tabs,idx,INTEGER,verbatim,index,,,,,
column,tabs,json,TEXT NOT NULL,verbatim,(whole tab),,,,,the fetched tab minus items and children
column,tabs,league,TEXT NOT NULL,ingest-fact,,,,,,
column,tabs,listed_at,INTEGER,bookkeeping,,,,,,
column,tabs,listed_json,TEXT,verbatim,(listing entry),,,,,the latest list entry / substash stub; a fetch never touches it (C54)
column,tabs,listed_response,INTEGER,bookkeeping,,,,,,responses.id of the listing that last listed this tab
column,tabs,name,TEXT,verbatim,name,,,,,
column,tabs,parent,TEXT,ingest-fact,,,,,,"folder id from the list, or parent tab id for a substash"
column,tabs,realm,TEXT NOT NULL DEFAULT 'pc',ingest-fact,,,,,,the request's realm (C60)
column,tabs,removed_at,INTEGER,bookkeeping,,,,,,
column,tabs,type,TEXT,verbatim,type,,,,,
read-time-extract,items,$.inventoryId,,json_extract at read,inventoryId,34161,0.945,0,PricingSnapshot.items[].inventory_id,"snapshot.rs read_items — parsed per row, no column, no index"
read-time-extract,items,$.note,,json_extract at read,note,184,0.005,0,PricingSnapshot.items[].note,"snapshot.rs read_items — parsed per row, no column, no index"
json-only,items,frameType,,items.json,frameType,36139,1.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,frameTypeId,,items.json,frameTypeId,36139,1.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,icon,,items.json,icon,36139,1.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,identified,,items.json,identified,36139,1.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,ilvl,,items.json,ilvl,36139,1.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,league,,items.json,league,36139,1.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,verified,,items.json,verified,36139,1.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,explicitMods,,items.json,explicitMods,26930,0.745,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,explicitMods[],,items.json,explicitMods[],26930,0.745,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,properties,,items.json,properties,26891,0.744,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,properties[],,items.json,properties[],26891,0.744,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,properties[].displayMode,,items.json,properties[].displayMode,26891,0.744,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,properties[].name,,items.json,properties[].name,26891,0.744,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,properties[].values,,items.json,properties[].values,26891,0.744,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,explicitMods[].description,,items.json,explicitMods[].description,26706,0.739,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,properties[].values[],,items.json,properties[].values[],26660,0.738,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,properties[].values[][],,items.json,properties[].values[][],26660,0.738,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,descrText,,items.json,descrText,26116,0.723,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,properties[].type,,items.json,properties[].type,23640,0.654,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,requirements,,items.json,requirements,19879,0.550,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,requirements[],,items.json,requirements[],19879,0.550,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,requirements[].displayMode,,items.json,requirements[].displayMode,19879,0.550,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,requirements[].name,,items.json,requirements[].name,19879,0.550,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,requirements[].values,,items.json,requirements[].values,19879,0.550,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,requirements[].values[],,items.json,requirements[].values[],19879,0.550,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,requirements[].values[][],,items.json,requirements[].values[][],19879,0.550,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,requirements[].type,,items.json,requirements[].type,19735,0.546,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,flavourText,,items.json,flavourText,10259,0.284,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,flavourText[],,items.json,flavourText[],10259,0.284,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,implicitMods,,items.json,implicitMods,7733,0.214,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,implicitMods[],,items.json,implicitMods[],7733,0.214,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,implicitMods[].description,,items.json,implicitMods[].description,7733,0.214,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,monsterLevel,,items.json,monsterLevel,7679,0.212,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,secDescrText,,items.json,secDescrText,7040,0.195,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,support,,items.json,support,7040,0.195,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,sockets,,items.json,sockets,5922,0.164,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,sockets[],,items.json,sockets[],5918,0.164,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,sockets[].group,,items.json,sockets[].group,5918,0.164,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,sockets[].attr,,items.json,sockets[].attr,5894,0.163,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,sockets[].sColour,,items.json,sockets[].sColour,5894,0.163,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,additionalProperties,,items.json,additionalProperties,5217,0.144,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,additionalProperties[],,items.json,additionalProperties[],5217,0.144,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,additionalProperties[].displayMode,,items.json,additionalProperties[].displayMode,5217,0.144,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,additionalProperties[].name,,items.json,additionalProperties[].name,5217,0.144,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,additionalProperties[].progress,,items.json,additionalProperties[].progress,5214,0.144,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,additionalProperties[].type,,items.json,additionalProperties[].type,5217,0.144,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,additionalProperties[].values,,items.json,additionalProperties[].values,5217,0.144,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,additionalProperties[].values[],,items.json,additionalProperties[].values[],5217,0.144,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,additionalProperties[].values[][],,items.json,additionalProperties[].values[][],5217,0.144,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,corrupted,,items.json,corrupted,3511,0.097,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,maxStackSize,,items.json,maxStackSize,2749,0.076,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,utilityMods,,items.json,utilityMods,2613,0.072,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,utilityMods[],,items.json,utilityMods[],2613,0.072,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,socket,,items.json,socket,1978,0.055,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,colour,,items.json,colour,1958,0.054,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,enchantMods,,items.json,enchantMods,1686,0.047,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,enchantMods[],,items.json,enchantMods[],1686,0.047,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,explicitMods[].flags,,items.json,explicitMods[].flags,1195,0.033,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,explicitMods[].flags.crafted,,items.json,explicitMods[].flags.crafted,909,0.025,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,artFilename,,items.json,artFilename,884,0.024,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,influences,,items.json,influences,764,0.021,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid,,items.json,hybrid,680,0.019,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.baseTypeName,,items.json,hybrid.baseTypeName,680,0.019,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.explicitMods,,items.json,hybrid.explicitMods,680,0.019,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.explicitMods[],,items.json,hybrid.explicitMods[],680,0.019,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.secDescrText,,items.json,hybrid.secDescrText,680,0.019,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.properties,,items.json,hybrid.properties,646,0.018,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.properties[],,items.json,hybrid.properties[],646,0.018,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.properties[].displayMode,,items.json,hybrid.properties[].displayMode,646,0.018,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.properties[].name,,items.json,hybrid.properties[].name,646,0.018,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.properties[].values,,items.json,hybrid.properties[].values,646,0.018,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.properties[].values[],,items.json,hybrid.properties[].values[],646,0.018,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.properties[].values[][],,items.json,hybrid.properties[].values[][],646,0.018,5,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,hybrid.isVaalGem,,items.json,hybrid.isVaalGem,540,0.015,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,requirements[].suffix,,items.json,requirements[].suffix,533,0.015,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,ultimatumMods,,items.json,ultimatumMods,554,0.015,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,ultimatumMods[],,items.json,ultimatumMods[],554,0.015,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,ultimatumMods[].tier,,items.json,ultimatumMods[].tier,554,0.015,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,ultimatumMods[].type,,items.json,ultimatumMods[].type,554,0.015,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,nextLevelRequirements,,items.json,nextLevelRequirements,317,0.009,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,nextLevelRequirements[],,items.json,nextLevelRequirements[],317,0.009,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,nextLevelRequirements[].displayMode,,items.json,nextLevelRequirements[].displayMode,317,0.009,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,nextLevelRequirements[].name,,items.json,nextLevelRequirements[].name,317,0.009,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,nextLevelRequirements[].values,,items.json,nextLevelRequirements[].values,317,0.009,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,nextLevelRequirements[].values[],,items.json,nextLevelRequirements[].values[],317,0.009,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,nextLevelRequirements[].values[][],,items.json,nextLevelRequirements[].values[][],317,0.009,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,fractured,,items.json,fractured,273,0.008,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,synthesised,,items.json,synthesised,276,0.008,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,explicitMods[].flags.fractured,,items.json,explicitMods[].flags.fractured,266,0.007,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,itemLevel,,items.json,itemLevel,263,0.007,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,abyssJewel,,items.json,abyssJewel,219,0.006,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,elder,,items.json,elder,215,0.006,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,influences.elder,,items.json,influences.elder,215,0.006,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,influences.shaper,,items.json,influences.shaper,198,0.005,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,shaper,,items.json,shaper,198,0.005,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,incubatedItem,,items.json,incubatedItem,99,0.003,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,incubatedItem.level,,items.json,incubatedItem.level,99,0.003,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,incubatedItem.name,,items.json,incubatedItem.name,99,0.003,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,incubatedItem.progress,,items.json,incubatedItem.progress,99,0.003,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,incubatedItem.total,,items.json,incubatedItem.total,99,0.003,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,influences.hunter,,items.json,influences.hunter,115,0.003,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,memoryItem,,items.json,memoryItem,124,0.003,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,realm,,items.json,realm,98,0.003,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,searing,,items.json,searing,102,0.003,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,tangled,,items.json,tangled,104,0.003,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible,,items.json,crucible,62,0.002,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.layout,,items.json,crucible.layout,62,0.002,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes,,items.json,crucible.nodes,62,0.002,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n},,items.json,crucible.nodes.{n},62,0.002,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.allocated,,items.json,crucible.nodes.{n}.allocated,62,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.icon,,items.json,crucible.nodes.{n}.icon,62,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.in,,items.json,crucible.nodes.{n}.in,62,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.in[],,items.json,crucible.nodes.{n}.in[],62,0.002,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.orbit,,items.json,crucible.nodes.{n}.orbit,62,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.orbitIndex,,items.json,crucible.nodes.{n}.orbitIndex,62,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.out,,items.json,crucible.nodes.{n}.out,62,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.out[],,items.json,crucible.nodes.{n}.out[],62,0.002,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.skill,,items.json,crucible.nodes.{n}.skill,62,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.stats,,items.json,crucible.nodes.{n}.stats,62,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.stats[],,items.json,crucible.nodes.{n}.stats[],62,0.002,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.tier,,items.json,crucible.nodes.{n}.tier,62,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucibleMods,,items.json,crucibleMods,62,0.002,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucibleMods[],,items.json,crucibleMods[],62,0.002,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,explicitMods[].flags.mutated,,items.json,explicitMods[].flags.mutated,78,0.002,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,influences.crusader,,items.json,influences.crusader,81,0.002,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,influences.redeemer,,items.json,influences.redeemer,80,0.002,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,influences.warlord,,items.json,influences.warlord,89,0.002,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,mutated,,items.json,mutated,78,0.002,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,unmodifiable,,items.json,unmodifiable,59,0.002,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,veiled,,items.json,veiled,55,0.002,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,veiledMods,,items.json,veiledMods,55,0.002,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,veiledMods[],,items.json,veiledMods[],55,0.002,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.isNotable,,items.json,crucible.nodes.{n}.isNotable,33,0.001,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,delve,,items.json,delve,19,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,duplicated,,items.json,duplicated,54,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemSkill,,items.json,gemSkill,23,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemSockets,,items.json,gemSockets,23,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemSockets[],,items.json,gemSockets[],23,0.001,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs,,items.json,gemTabs,42,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[],,items.json,gemTabs[],42,0.001,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].name,,items.json,gemTabs[].name,42,0.001,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages,,items.json,gemTabs[].pages,42,0.001,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[],,items.json,gemTabs[].pages[],42,0.001,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].skillName,,items.json,gemTabs[].pages[].skillName,42,0.001,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].stats,,items.json,gemTabs[].pages[].stats,41,0.001,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].stats[],,items.json,gemTabs[].pages[].stats[],41,0.001,5,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,replica,,items.json,replica,20,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,socketedIcon,,items.json,socketedIcon,20,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,sockets[].type,,items.json,sockets[].type,24,0.001,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,stackSizeText,,items.json,stackSizeText,20,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,supportGemRequirements,,items.json,supportGemRequirements,19,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,supportGemRequirements[],,items.json,supportGemRequirements[],19,0.001,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,supportGemRequirements[].displayMode,,items.json,supportGemRequirements[].displayMode,19,0.001,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,supportGemRequirements[].name,,items.json,supportGemRequirements[].name,19,0.001,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,supportGemRequirements[].type,,items.json,supportGemRequirements[].type,19,0.001,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,supportGemRequirements[].values,,items.json,supportGemRequirements[].values,19,0.001,2,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,supportGemRequirements[].values[],,items.json,supportGemRequirements[].values[],19,0.001,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,supportGemRequirements[].values[][],,items.json,supportGemRequirements[].values[][],19,0.001,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,unmodifiableExceptChaos,,items.json,unmodifiableExceptChaos,42,0.001,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,bondedMods,,items.json,bondedMods,1,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,bondedMods[],,items.json,bondedMods[],1,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,builtInSupport,,items.json,builtInSupport,11,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,crucible.nodes.{n}.isReward,,items.json,crucible.nodes.{n}.isReward,16,0.000,3,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,enshrouded,,items.json,enshrouded,1,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,enshrouded.progress,,items.json,enshrouded.progress,1,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,enshrouded.total,,items.json,enshrouded.total,1,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,enshrouded.unique,,items.json,enshrouded.unique,1,0.000,1,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,foilVariation,,items.json,foilVariation,7,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemBackground,,items.json,gemBackground,16,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].description,,items.json,gemTabs[].pages[].description,1,0.000,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].properties,,items.json,gemTabs[].pages[].properties,8,0.000,4,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].properties[],,items.json,gemTabs[].pages[].properties[],4,0.000,5,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].properties[].displayMode,,items.json,gemTabs[].pages[].properties[].displayMode,4,0.000,6,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].properties[].name,,items.json,gemTabs[].pages[].properties[].name,4,0.000,6,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].properties[].values,,items.json,gemTabs[].pages[].properties[].values,4,0.000,6,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].properties[].values[],,items.json,gemTabs[].pages[].properties[].values[],4,0.000,7,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,gemTabs[].pages[].properties[].values[][],,items.json,gemTabs[].pages[].properties[].values[][],4,0.000,8,ItemRow.json+get_item,reachable only by parsing the whole body
json-only,items,grantedSkills,,items.json,grantedSkills,4,0.000,0,ItemRow.json+get_item,reachable only by parsing the whole body
