# generated by scripts/extract-conditions.py from raw/Path of Exile - Item Filters.html (page save, MANIFEST.md), ../cpp-search/data/filters.toml, ../trade-query/data/grammar.json, ../trade-query/data/stats-2026-09-12.json, ../item-facts/data/field-census.csv. condition/ribbon/values/example are the page's own vocabulary; its prose descriptions are NOT copied here (BRIEF) and `notes` paraphrases what they add. operand_type, operators, item_field, cpp_filter, trade_filter and notes are hand-kept and validated against those files. operators is derived: the page states ONE operator table (= ! != < <= > >= ==) and no per-condition restriction, so this column records the set that is meaningful for the operand.
condition,ribbon,operand_type,operators,values,example,item_field,cpp_filter,trade_filter,notes
EnchantmentPassiveNode,,name,= ! != ==,Cluster Jewel enchantment name,"EnchantmentPassiveNode ""Damage over Time""",enchantMods[],Mods,stat:enchant.*,Cluster-jewel enchantment by name.
EnchantmentPassiveNum,,numeric,= ! != < <= > >= ==,Numeric,EnchantmentPassiveNum > 5,derived:enchantMods 'Adds # passive skills',Mods,stat:enchant.*,"The page states it counts only the ""Adds X passive skills"" modifiers."
Exceptional,New,boolean,= ! != ==,True / False,Exceptional True,absent:no export field,,,New ribbon. Exceptional gems.
Foulborn,,boolean,= ! != ==,True / False,Foulborn False,mutated,Mutated,mutated,"THREE NAMES, ONE THING: GGG's filter says Foulborn, the C++ caption says Mutated, the trade id is `mutated` with the display text ""Foulborn""; the export field is `mutated`."
FracturedItem,,boolean,= ! != ==,True / False,FracturedItem True,fractured,Fractured,fractured_item,
GemLevel,,numeric,= ! != < <= > >= ==,Numeric,GemLevel > 15,properties[],Level,gem_level,"cpp reads the ""Level"" property; the export carries it as a property row."
GemQualityType,Deleted,enum,= ! != ==,"Superior, Divergent, Anomalous, Phantasmal",GemQualityType Anomalous,derived:no export field / candidate is the typeLine prefix,,,Deleted ribbon: the page marks this condition removed. No trade filter in the 2026-09-12 capture either.
HasCruciblePassiveTree,,boolean,= ! != ==,True / False,HasCruciblePassiveTree True,crucible,,crucible_item,
HasEaterOfWorldsImplicit,,numeric,= ! != < <= > >= ==,Numeric,HasEaterOfWorldsImplicit >= 4,tangled,,tangled_item,"TIER vs BOOLEAN: the filter compares an implicit tier 1-6, which the page glosses Lesser/Greater/Grand/Exceptional/Exquisite/Perfect; trade's `tangled_item` and the export's `tangled` are yes/no."
HasEnchantment,,numeric+name,= ! != ==,"Numeric, Enchantment name","HasEnchantment ""Enchantment Bane Damage 2""",enchantMods[],Enchanted,stat:enchant.*,Takes an optional count and one or more enchantment names.
HasExplicitMod,,numeric+name,= ! != ==,"Numeric, Mod name","HasExplicitMod >=2 ""of Haast"" ""of Tzteosh"" ""of Ephij""",explicitMods[],Mods,stat:explicit.*,"The page: 'mod name with numeric condition for number of modifiers', example `HasExplicitMod >=2` over three names. Whether the count is over the named set or over all mods is not stated (Q1). The C++ mod filter ranges a mod VALUE instead; a trade stat group counts matches."
HasImplicitMod,,boolean,= ! != ==,True / False,HasImplicitMod True,implicitMods[],,,"Only ""has at least one""; no count, no name."
HasInfluence,,enum,= ! != ==,"Shaper, Elder, Crusader, Hunter, Redeemer, Warlord, None",HasInfluence Shaper,influences,Influenced,stat:pseudo.pseudo_has_influence_count,"Values: Shaper, Elder, Crusader, Hunter, Redeemer, Warlord, None. The filter names the six; cpp collapses them to one boolean; trade has a pseudo stat per influence and a count."
HasSearingExarchImplicit,,numeric,= ! != < <= > >= ==,Numeric,HasSearingExarchImplicit >= 3,searing,,searing_item,Tier 1-6 under the same six names as the Eater implicit; trade's `searing_item` and the export's `searing` are yes/no.
HasVaalUniqueMod,PoE2-only,boolean,= ! != ==,True / False,HasVaalUniqueMod True,absent:no export field,,,PoE2-only ribbon.
Height,,numeric,= ! != < <= > >= ==,Numeric,Height <= 2,h,,,ONLY THE FILTER LANGUAGE NAMES IT: the export carries `h` on every item; neither the C++ app nor trade offers a filter.
Identified,,boolean,= ! != ==,True / False,Identified True,identified,Unidentified,identified,cpp's caption is the negation.
Imbued,,boolean,= ! != ==,True / False,Imbued True,absent:no export field,,gem_imbued,
IsVaalUnique,PoE2-only,boolean,= ! != ==,True / False,IsVaalUnique True,absent:no export field,,,"PoE2-only ribbon. Not trade's `gem_vaal`, which is a Vaal skill gem."
ItemLevel,,numeric,= ! != < <= > >= ==,Numeric,ItemLevel >= 65,ilvl,ilvl,ilvl,All three name it.
LinkedSockets,,numeric,= ! != < <= > >= ==,Numeric,LinkedSockets >= 5,sockets[].group,Links,links,Size of the largest linked group.
MapTier,,numeric,= ! != < <= > >= ==,Numeric,MapTier >= 15,properties[],Map Tier,map_tier,All three name it; the export carries it as a property row.
MemoryStrands,,numeric,= ! != < <= > >= ==,Numeric,MemoryStrands > 0,memoryItem,,memory_level,
MirageMap,New,boolean,= ! != ==,True / False,MirageMap True,absent:no export field,,,New ribbon.
Mirrored,,boolean,= ! != ==,True / False,Mirrored False,duplicated,,mirrored,"No export field is named `mirrored`; `duplicated` is the candidate and GGG's field reference documents names only, so the identification is unverified (Q2). The C++ catalogue has no filter for it."
Quality,,numeric,= ! != < <= > >= ==,Numeric,Quality > 15,properties[],Quality,quality,All three name it.
Rarity,,enum,= ! != < <= > >= ==,"Normal, Magic, Rare, Unique",Rarity > Magic,frameType|rarity,Rarity,rarity,"ORDERED vs SET: the filter's four values are ordered, so `Rarity > Magic` is legal; cpp's combo and trade's `rarity` option are unordered, and trade adds uniquefoil and nonunique."
Replica,,boolean,= ! != ==,True / False,Replica True,replica,,,"Only the filter language names it, though the export carries `replica`."
Scourged,,boolean,= ! != ==,True / False,Scourged True,scourged.tier,,scourge_tier,"Boolean vs tier: the filter asks yes/no, trade compares a tier, the export carries the tier."
ShapedMap,,boolean,= ! != ==,True / False,ShapedMap True,absent:no export field,,,
ShaperItem,,boolean,= ! != ==,True / False,ShaperItem True,influences.shaper|shaper,Influenced,stat:pseudo.pseudo_has_shaper_influence,As ElderItem.
SocketGroup,,numeric+colours,= ! != < <= > >= ==,"Numeric, R:Red, G:Green, B:Blue, A:Abyss, D:Delve, W:White",SocketGroup >= 5GGG,sockets[].group;sockets[].sColour,Linked,links,Colours within ONE linked group. Letters: R:Red G:Green B:Blue A:Abyss D:Delve W:White.
Sockets,,numeric+colours,= ! != < <= > >= ==,"Numeric, R:Red, G:Green, B:Blue, A:Abyss, D:Delve, W:White",Sockets >= 5GGG,sockets[];sockets[].sColour,Sockets,sockets,Colours anywhere on the item. cpp splits the count (`Sockets`) from the colours (`Colors`); trade's `sockets` filter carries both shapes.
StackSize,,numeric,= ! != < <= > >= ==,Numeric,StackSize >= 5,stackSize,,stack_size,The page scopes it to Currency.
SynthesisedItem,,boolean,= ! != ==,True / False,SynthesisedItem True,synthesised,Synthesized,synthesised_item,"SPELLING: GGG and trade write Synthesised, the C++ caption writes Synthesized; the export field is `synthesised`."
TransfiguredGem,Updated,boolean+name,= ! != ==,"True / False, Gem name","TransfiguredGem ""Leap Slam""",derived:no export field / candidate is the typeLine,,gem_transfigured,"Updated ribbon: True matches any transfigured gem, or name one."
TwiceCorrupted,PoE2-only,boolean,= ! != ==,True / False,TwiceCorrupted True,absent:no export field,,,PoE2-only ribbon.
UberBlightedMap,,boolean,= ! != ==,True / False,UberBlightedMap True,derived:no export field / candidate is the map item name,,map_uberblighted,As BlightedMap (Q2).
UnidentifiedItemTier,PoE2-only,numeric,= ! != < <= > >= ==,Numeric,UnidentifiedItemTier >= 4,absent:no export field,,,PoE2-only ribbon.
Vestigial,New,boolean,= ! != ==,True / False,Vestigial True,absent:no export field,,vestigial,New ribbon.
WaystoneTier,PoE2-only,numeric,= ! != < <= > >= ==,Numeric,WaystoneTier >= 15,"absent:PoE2 field, not in the PoE1 census",,,PoE2-only ribbon; PoE2's name for MapTier.
Width,,numeric,= ! != < <= > >= ==,Numeric,Width = 1,w,,,"As Height: the export has `w` on every item, neither other surface filters on it."
ZanaMemory,,boolean,= ! != ==,True / False,ZanaMemory True,absent:no export field,,,
