id,text,class,evidence_source,evidence_locator,note
pseudo.pseudo_increased_energy_shield,#% total increased maximum Energy Shield,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_total_attack_speed,+#% total Attack Speed,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+#% total Attack Speed""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_cast_speed,+#% total Cast Speed,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+#% total Cast Speed""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_increased_movement_speed,#% increased Movement Speed,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 16 but no input states the set it sums"
pseudo.pseudo_increased_physical_damage,#% total increased Physical Damage,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+#% total increased Physical Damage""","sums the listed templates, a template listed N times counting N times; the C++ name differs by its leading '+'"
pseudo.pseudo_global_critical_strike_chance,+#% Global Critical Strike Chance,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_critical_strike_chance_for_spells,+#% total Critical Strike Chance for Spells,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+#% total Critical Strike Chance for Spells""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_global_critical_strike_multiplier,+#% Global Critical Strike Multiplier,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_adds_physical_damage,Adds # to # Physical Damage,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 28,"475 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_lightning_damage,Adds # to # Lightning Damage,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 73,"250 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_cold_damage,Adds # to # Cold Damage,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 70,"254 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_fire_damage,Adds # to # Fire Damage,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 102,"202 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_elemental_damage,Adds # to # Elemental Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_adds_chaos_damage,Adds # to # Chaos Damage,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 277,"64 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_damage,Adds # to # Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_adds_physical_damage_to_attacks,Adds # to # Physical Damage to Attacks,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 32,"438 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_lightning_damage_to_attacks,Adds # to # Lightning Damage to Attacks,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 60,"270 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_cold_damage_to_attacks,Adds # to # Cold Damage to Attacks,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 76,"244 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_fire_damage_to_attacks,Adds # to # Fire Damage to Attacks,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 96,"207 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_elemental_damage_to_attacks,Adds # to # Elemental Damage to Attacks,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_adds_chaos_damage_to_attacks,Adds # to # Chaos Damage to Attacks,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 476,"37 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_damage_to_attacks,Adds # to # Damage to Attacks,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_adds_physical_damage_to_spells,Adds # to # Physical Damage to Spells,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 3415,"3 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_lightning_damage_to_spells,Adds # to # Lightning Damage to Spells,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 191,"96 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_cold_damage_to_spells,Adds # to # Cold Damage to Spells,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 237,"76 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_fire_damage_to_spells,Adds # to # Fire Damage to Spells,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 195,"95 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_elemental_damage_to_spells,Adds # to # Elemental Damage to Spells,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_adds_chaos_damage_to_spells,Adds # to # Chaos Damage to Spells,ranged-total,search/item-facts/data/mod-templates.csv,mod-templates.csv row 1496,"11 private items show this ranged line, summed slot-wise; which other templates it also sums is open (see the README)"
pseudo.pseudo_adds_damage_to_spells,Adds # to # Damage to Spells,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_increased_elemental_damage,#% increased Elemental Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 377 but no input states the set it sums"
pseudo.pseudo_increased_lightning_damage,#% increased Lightning Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 110 but no input states the set it sums"
pseudo.pseudo_increased_cold_damage,#% increased Cold Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 139 but no input states the set it sums"
pseudo.pseudo_increased_fire_damage,#% increased Fire Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 112 but no input states the set it sums"
pseudo.pseudo_increased_spell_damage,#% increased Spell Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 49 but no input states the set it sums"
pseudo.pseudo_increased_lightning_spell_damage,#% increased Lightning Spell Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_increased_cold_spell_damage,#% increased Cold Spell Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_increased_fire_spell_damage,#% increased Fire Spell Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_increased_lightning_damage_with_attack_skills,#% increased Lightning Damage with Attack Skills,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_increased_cold_damage_with_attack_skills,#% increased Cold Damage with Attack Skills,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 1290 but no input states the set it sums"
pseudo.pseudo_increased_fire_damage_with_attack_skills,#% increased Fire Damage with Attack Skills,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_increased_elemental_damage_with_attack_skills,#% increased Elemental Damage with Attack Skills,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 103 but no input states the set it sums"
pseudo.pseudo_increased_rarity,#% increased Rarity of Items found,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 25 but no input states the set it sums"
pseudo.pseudo_increased_burning_damage,#% increased Burning Damage,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 339 but no input states the set it sums"
pseudo.pseudo_total_life_regen,# Life Regenerated per Second,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_percent_life_regen,#% of Life Regenerated per Second,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_physical_attack_damage_leeched_as_life,#% of Physical Attack Damage Leeched as Life,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 89 but no input states the set it sums"
pseudo.pseudo_physical_attack_damage_leeched_as_mana,#% of Physical Attack Damage Leeched as Mana,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 140 but no input states the set it sums"
pseudo.pseudo_increased_mana_regen,#% increased Mana Regeneration Rate,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; the text matches mod-templates.csv row 31 but no input states the set it sums"
pseudo.pseudo_total_additional_gem_levels,+# total to Level of Socketed Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_elemental_gem_levels,+# total to Level of Socketed Elemental Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Elemental Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_fire_gem_levels,+# total to Level of Socketed Fire Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Fire Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_cold_gem_levels,+# total to Level of Socketed Cold Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Cold Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_lightning_gem_levels,+# total to Level of Socketed Lightning Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Lightning Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_chaos_gem_levels,+# total to Level of Socketed Chaos Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Chaos Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_spell_gem_levels,+# total to Level of Socketed Spell Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Spell Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_projectile_gem_levels,+# total to Level of Socketed Projectile Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Projectile Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_bow_gem_levels,+# total to Level of Socketed Bow Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Bow Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_melee_gem_levels,+# total to Level of Socketed Melee Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Melee Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_minion_gem_levels,+# total to Level of Socketed Minion Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Minion Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_strength_gem_levels,+# total to Level of Socketed Strength Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Strength Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_dexterity_gem_levels,+# total to Level of Socketed Dexterity Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Dexterity Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_intelligence_gem_levels,+# total to Level of Socketed Intelligence Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Intelligence Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_aura_gem_levels,+# total to Level of Socketed Aura Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Aura Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_movement_gem_levels,+# total to Level of Socketed Movement Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Movement Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_curse_gem_levels,+# total to Level of Socketed Curse Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Curse Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_vaal_gem_levels,+# total to Level of Socketed Vaal Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Vaal Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_support_gem_levels,+# total to Level of Socketed Support Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Support Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_skill_gem_levels,+# total to Level of Socketed Skill Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Skill Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_warcry_gem_levels,+# total to Level of Socketed Warcry Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Warcry Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_additional_golem_gem_levels,+# total to Level of Socketed Golem Gems,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Level of Socketed Golem Gems""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_number_of_enchant_mods,# Enchant Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_implicit_mods,# Implicit Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_searing_implicit_tier,Searing Exarch Implicit Modifier (#),mod-behind-line,search/trade-query/data/fetch-census.json,queries.q5.fetched[0].lines.explicitMods[0].mods[0].tier,"the tier is a property of the modifier; field-census row 113 shows the private item carries `searing` as a bare boolean, presence and not tier"
pseudo.pseudo_tangled_implicit_tier,Eater of Worlds Implicit Modifier (#),mod-behind-line,search/trade-query/data/fetch-census.json,queries.q5.fetched[0].lines.explicitMods[0].mods[0].tier,"the tier is a property of the modifier; field-census row 112 shows the private item carries `tangled` as a bare boolean, presence and not tier"
pseudo.pseudo_number_of_prefix_mods,# Prefix Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_suffix_mods,# Suffix Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_affix_mods,# Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_crafted_prefix_mods,# Crafted Prefix Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_crafted_suffix_mods,# Crafted Suffix Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_crafted_mods,# Crafted Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_empty_prefix_mods,# Empty Prefix Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_empty_suffix_mods,# Empty Suffix Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_empty_affix_mods,# Empty Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_base_defence_percentile,#% Base Defence Percentile,unresolved,,,"read RePoE's base_items for per-base armour/evasion/energy-shield ranges; repoe/README.md names no defence ranges among its five extracts, and field-census has no `extended`/`base_defence_percentile`"
pseudo.pseudo_has_shaper_influence,Has Shaper Influence,field,search/item-facts/data/field-census.csv,field-census.csv row 107 (influences.shaper),198 private items carry the flag
pseudo.pseudo_has_elder_influence,Has Elder Influence,field,search/item-facts/data/field-census.csv,field-census.csv row 106 (influences.elder),215 private items carry the flag
pseudo.pseudo_has_crusader_influence,Has Crusader Influence,field,search/item-facts/data/field-census.csv,field-census.csv row 121 (influences.crusader),81 private items carry the flag
pseudo.pseudo_has_redeemer_influence,Has Redeemer Influence,field,search/item-facts/data/field-census.csv,field-census.csv row 122 (influences.redeemer),80 private items carry the flag
pseudo.pseudo_has_hunter_influence,Has Hunter Influence,field,search/item-facts/data/field-census.csv,field-census.csv row 111 (influences.hunter),115 private items carry the flag
pseudo.pseudo_has_warlord_influence,Has Warlord Influence,field,search/item-facts/data/field-census.csv,field-census.csv row 120 (influences.warlord),89 private items carry the flag
pseudo.pseudo_has_influence_count,Has # Influences,field,search/item-facts/data/field-census.csv,field-census.csv row 74 (influences),"counts the true keys of the `influences` object (764 items carry it, the six `influences.*` rows sum to more, so items carry several) — no line is counted"
pseudo.pseudo_number_of_fractured_mods,# Fractured Modifiers,mod-behind-line,search/trade-query/data/fetch-census.json,queries.q2.fetched[0].lines.explicitMods[5:7] (Carnal Boots),"one crafted modifier ('Upgraded' P0) makes two crafted-flagged lines there, so counting lines does not count modifiers; census.mods_feeding_several_lines=31"
pseudo.pseudo_number_of_notable_passive_skills,# Notable Passive Skills,count,search/item-facts/data/mod-templates.csv,mod-templates.csv row 883,"196 `# Added Passive Skill is …` templates in the census, one line per notable on a cluster jewel, so the count is over lines"
pseudo.pseudo_lake_number_of_islands,Mirrored Tablet has # Islands,unresolved,,,"fetch a Mirrored Tablet and read its properties; no field, property or template in the census mentions islands"
pseudo.pseudo_ritual_unique_monsters,Unique Monsters (Blood-Filled Vessel): #,field,search/trade-query/data/grammar.json,property_type_to_field.table.106,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_ritual_other_monsters,Non-Unique Monsters (Blood-Filled Vessel): #,field,search/trade-query/data/grammar.json,property_type_to_field.table.107,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_jewellery_elemental_quality,Quality (Elemental Damage Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 446 (Quality (Elemental Damage Modifiers)),11 private items carry the property
pseudo.pseudo_jewellery_caster_quality,Quality (Caster Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 542 (Quality (Caster Modifiers)),6 private items carry the property
pseudo.pseudo_jewellery_attack_quality,Quality (Attack Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 624 (Quality (Attack Modifiers)),4 private items carry the property
pseudo.pseudo_jewellery_defense_quality,Quality (Defence Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 625 (Quality (Defence Modifiers)),4 private items carry the property
pseudo.pseudo_jewellery_resource_quality,Quality (Life and Mana Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 360 (Quality (Life and Mana Modifiers)),16 private items carry the property
pseudo.pseudo_jewellery_resistance_quality,Quality (Resistance Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 304 (Quality (Resistance Modifiers)),22 private items carry the property
pseudo.pseudo_jewellery_attribute_quality,Quality (Attribute Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 213 (Quality (Attribute Modifiers)),47 private items carry the property
pseudo.pseudo_jewellery_physical_chaos_quality,Quality (Physical and Chaos Damage Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 503 (Quality (Physical and Chaos Damage Modifiers)),8 private items carry the property
pseudo.pseudo_jewellery_speed_quality,Quality (Speed Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 84 (Quality (Quantity)),family: a type-6 `properties` entry of this name; this name is absent from the corpus
pseudo.pseudo_jewellery_critical_quality,Quality (Critical Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 950 (Quality (Critical Modifiers)),1 private items carry the property
pseudo.pseudo_jewellery_prefix_quality,Quality (Prefix Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 675 (Quality (Prefix Modifiers)),3 private items carry the property
pseudo.pseudo_jewellery_suffix_quality,Quality (Suffix Modifiers): #%,field,search/item-facts/data/properties-census.csv,properties-census.csv row 84 (Quality (Quantity)),family: a type-6 `properties` entry of this name; this name is absent from the corpus
pseudo.pseudo_map_conversion_shaper_map,#% chance for dropped Maps to convert to Shaper Maps,field,search/trade-query/data/grammar.json,property_type_to_field.table.80,"the renderer reads a property of this type, not the item's lines"
pseudo.pseudo_map_conversion_elder_map,#% chance for dropped Maps to convert to Elder Maps,field,search/trade-query/data/grammar.json,property_type_to_field.table.81,"the renderer reads a property of this type, not the item's lines"
